Date;Clicks;Impressions;CTR;Position
2024-05-31;256;7351;3,48%;7,30
2024-05-30;193;6805;2,84%;8,25
2024-05-29;310;12931;2,40%;6,60
2024-05-28;389;19185;2,03%;5,97
2024-05-27;414;17322;2,39%;6,55
2024-05-26;202;9404;2,15%;7,58
2024-05-25;177;6283;2,82%;7,78
2024-05-24;310;10861;2,85%;7,18
2024-05-23;447;15511;2,88%;6,73
2024-05-22;415;19019;2,18%;6,35
2024-05-21;479;18486;2,59%;6,46
2024-05-20;468;13957;3,35%;7,41
2024-05-19;238;7729;3,08%;8,98
2024-05-18;145;5137;2,82%;9,69
2024-05-17;299;9170;3,26%;7,95
2024-05-16;426;11804;3,61%;7,51
2024-05-15;445;12741;3,49%;7,63
2024-05-14;453;13120;3,45%;7,62
2024-05-13;448;12234;3,66%;7,49
2024-05-12;243;8365;2,90%;8,03
2024-05-11;154;6449;2,39%;8,60
2024-05-10;339;10605;3,20%;7,40
2024-05-09;444;13562;3,27%;7,03
2024-05-08;483;19492;2,48%;5,74
2024-05-07;504;20840;2,42%;6,03
2024-05-06;441;11642;3,79%;7,68
2024-05-05;197;7421;2,65%;8,03
2024-05-04;111;5323;2,09%;8,47
2024-05-03;133;5471;2,43%;9,07
2024-05-02;146;6069;2,41%;8,35
2024-05-01;127;5871;2,16%;8,83
2024-04-30;257;9298;2,76%;7,77
2024-04-29;337;12212;2,76%;7,56
2024-04-28;188;7582;2,48%;7,76
2024-04-27;144;5433;2,65%;8,14
2024-04-26;308;8756;3,52%;8,03
2024-04-25;458;12838;3,57%;7,36
2024-04-24;482;15088;3,19%;7,43
2024-04-23;547;15757;3,47%;7,07
2024-04-22;481;14794;3,25%;7,56
2024-04-21;299;9813;3,05%;8,26
2024-04-20;206;7036;2,93%;8,59
2024-04-19;420;11233;3,74%;7,69
2024-04-18;510;14211;3,59%;7,29
2024-04-17;500;14587;3,43%;7,40
2024-04-16;551;15179;3,63%;7,34
2024-04-15;501;14982;3,34%;7,47
2024-04-14;267;9548;2,80%;8,30
2024-04-13;168;6452;2,60%;9,36
2024-04-12;361;10331;3,49%;7,93
