Date;Description;Status;productSlug (metadata);customer_id;order__id
31.05.2024 21:58;KajoDataSpace;Paid;kajodataspace;1;1
31.05.2024 21:14;Subscription creation;Paid;kajodataspace;2;2
31.05.2024 21:04;Subscription creation;Paid;kajodataspace;3;3
31.05.2024 20:43;KajoDataSpace;Paid;kajodataspace;4;4
31.05.2024 20:41;Subscription creation;Paid;kajodataspace;5;5
31.05.2024 20:27;Subscription creation;Paid;kajodataspace;6;6
31.05.2024 20:20;Subscription creation;Paid;kajodataspace;7;7
31.05.2024 20:09;Subscription creation;Paid;kajodataspace;8;8
31.05.2024 20:02;KajoDataSpace;Paid;kajodataspace;9;9
31.05.2024 19:55;Subscription creation;Paid;kajodataspace;10;10
31.05.2024 18:48;Subscription creation;Refunded;kajodataspace;11;11
31.05.2024 18:04;KajoDataSpace;Paid;kajodataspace;12;12
31.05.2024 17:59;Subscription creation;Paid;kajodataspace;13;13
31.05.2024 17:40;Subscription creation;Paid;kajodataspace;14;14
31.05.2024 17:37;Subscription creation;Paid;kajodataspace;15;15
31.05.2024 16:31;Subscription creation;Paid;kajodataspace;16;16
31.05.2024 15:49;Subscription creation;Paid;kajodataspace;17;17
31.05.2024 15:32;Subscription creation;Paid;kajodataspace;18;18
31.05.2024 14:48;KajoDataSpace;Paid;kajodataspace;19;19
31.05.2024 14:31;Subscription creation;Paid;kajodataspace;20;20
31.05.2024 09:41;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;21;21
31.05.2024 09:39;Subscription creation;Paid;kajodataspace;22;22
31.05.2024 09:11;Subscription creation;Paid;kajodataspace;23;23
31.05.2024 04:42;KajoDataSpace;Paid;kajodataspace;24;24
30.05.2024 20:29;Subscription creation;Paid;kajodataspace;25;25
30.05.2024 19:23;KajoDataSpace;Paid;kajodataspace;26;26
30.05.2024 17:18;Subscription creation;Paid;kajodataspace;27;27
30.05.2024 16:22;KajoDataSpace;Paid;kajodataspace;28;28
30.05.2024 15:59;Subscription creation;Paid;kajodataspace;29;29
30.05.2024 15:01;Subscription creation;Paid;kajodataspace;30;30
30.05.2024 11:29;Subscription creation;Refunded;kajodataspace;31;31
30.05.2024 10:04;Subscription creation;Paid;kajodataspace;32;32
30.05.2024 09:46;KajoDataSpace;Paid;kajodataspace;33;33
30.05.2024 08:46;Subscription creation;Paid;kajodataspace;21;34
29.05.2024 19:28;Subscription creation;Paid;kajodataspace;34;35
29.05.2024 19:08;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;35;36
29.05.2024 16:57;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;36;37
29.05.2024 11:51;Subscription creation;Paid;kajodataspace;37;38
29.05.2024 10:29;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;38;39
29.05.2024 07:28;Subscription creation;Paid;kajodataspace;39;40
28.05.2024 19:43;Subscription creation;Paid;kajodataspace;40;41
28.05.2024 19:28;Kurs Analiza danych w Microsoft Excel;Paid;excel-analiza-danych;41;42
28.05.2024 15:04;Subscription creation;Paid;kajodataspace;42;43
27.05.2024 10:31;Subscription creation;Refunded;kajodataspace;43;44
27.05.2024 09:09;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;44;45
26.05.2024 18:11;KajoDataSpace;Paid;kajodataspace;45;46
26.05.2024 17:32;Subscription creation;Paid;kajodataspace;46;47
26.05.2024 11:04;Pakiet Kursów Analiza Danych w Excelu i SQL;Paid;pakiet-excel-sql;47;48
26.05.2024 08:50;Kurs Analiza danych w SQL;Paid;sql-analiza-danych;48;49
25.05.2024 12:53;Kurs Analiza danych w SQL;Refunded;sql-analiza-danych;49;50
24.05.2024 17:17;Subscription creation;Paid;kajodataspace;50;51
